Model,num_rows,num_cols,acc,std
TabPFN,3,0.478,0.01580397942816194
TabPFN,5,0.563,0.015693223928730425
TabPFN,15,0.729,0.014062601350986123
LR,3,0.487,0.01581395210189664
LR,5,0.593,0.015543249100255478
LR,15,0.745,0.013790038620872863
CatBoost,3,0.49,0.015816135752773183
CatBoost,5,0.554,0.015726771166750392
CatBoost,15,0.725,0.014127086556490498
R_Forest,3,0.485,0.01581217964181488
R_Forest,5,0.533,0.015784807891138876
R_Forest,15,0.724,0.014142984975740588
KNN,3,0.489,0.015815471195292575
KNN,5,0.587,0.015577986829936457
KNN,15,0.727,0.014095022868717515
SVC,3,0.501,0.015819268290576817
SVC,5,0.6,0.015499685165842573
SVC,15,0.747,0.013754278613587126
FTTransformer,3,0.482,0.01580904569940659
FTTransformer,5,0.556,0.01571976816340213
FTTransformer,15,0.685,0.014696631960792617
