model,num_rows,num_cols,acc,std
SVC,3,-3,0.619,0.01536473478700739
SVC,5,-3,0.649,0.015100563798316506
SVC,10,-3,0.682,0.014734079309311905
LR,3,-3,0.599,0.01550610974549837
LR,5,-3,0.626,0.015308767369006507
LR,10,-3,0.677,0.01479492784334854
KNN,3,-3,0.639,0.015195720118175047
KNN,5,-3,0.677,0.01479492784334854
KNN,10,-3,0.695,0.014566646394664325
