Model,num_rows,num_cols,acc,std
TabPFN,3,0.433,0.01567663091218125
TabPFN,5,0.499,0.015819268290576817
TabPFN,15,0.673,0.014842213153411162
LR,3,0.475,0.01579951342999602
LR,5,0.546,0.01575221038877186
LR,15,0.679,0.014770821817934751
CatBoost,3,0.482,0.01580904569940659
CatBoost,5,0.523,0.015802554246726087
CatBoost,15,0.669,0.0148882725882038
R_Forest,3,0.447,0.0157301760460091
R_Forest,5,0.505,0.015818508944436743
R_Forest,15,0.652,0.015070604603768327
KNN,3,0.493,0.01581774956184353
KNN,5,0.54,0.0157685969143944
KNN,15,0.628,0.015292149942040518
SVC,3,0.47,0.015790799515836722
SVC,5,0.518,0.01580904569940659
SVC,15,0.637,0.015213890444671358
FTTransformer,3,0.488,0.01581474331458169
FTTransformer,5,0.562,0.015697210019694662
FTTransformer,15,0.681,0.014746404865473363
