Model,num_rows,num_cols,acc,std
TabPFN,3,0.454,0.01575221038877186
TabPFN,5,0.527,0.01579621855130273
TabPFN,15,0.854,0.011171786285496553
LR,3,0.522,0.01580397942816194
LR,5,0.651,0.015080663991563052
LR,15,0.87,0.010640169792499236
CatBoost,3,0.522,0.01580397942816194
CatBoost,5,0.614,0.015402637476784335
CatBoost,15,0.83,0.011884495834541795
R_Forest,3,0.448,0.01573351656634789
R_Forest,5,0.568,0.015672320237336324
R_Forest,15,0.821,0.012128730605719054
KNN,3,0.527,0.01579621855130273
KNN,5,0.646,0.015129868238451812
KNN,15,0.834,0.011772110370812133
SVC,3,0.568,0.015672320237336324
SVC,5,0.699,0.01451239503354321
SVC,15,0.889,0.009938701010583717
FTTransformer,3,0.489,0.015815471195292575
FTTransformer,5,0.602,0.015486634102859014
FTTransformer,15,0.784,0.013019735539307761
STUNT,3,0.568,0.015672320237336324
STUNT,5,0.653,0.015060472031706637
STUNT,10,0.78,0.013106173040661863
STUNT,15,0.851,0.011266140684632246
