Model,num_rows,num_cols,acc,std
LR,10,-3,0.571,0.01565899754787018
CatBoost,10,-3,0.547,0.015749255189977687
R_Forest,10,-3,0.537,0.015775927227262426
KNN,10,-3,0.576,0.015635487471405182
FTTransformer,10,-3,0.554,0.015726771166750392
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.626,0.015308767369006507
CatBoost,10,-3,5,0.595,0.01553113699045296
R_Forest,10,-3,5,0.595,0.01553113699045296
KNN,10,-3,5,0.611,0.01542455564730851
FTTransformer,10,-3,5,0.589,0.015566673418599151
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.566,0.01568087656637504
CatBoost,10,-3,3,0.528,0.015794475789511517
R_Forest,10,-3,3,0.531,0.015788865959538965
KNN,10,-3,3,0.558,0.015712507211864152
FTTransformer,10,-3,3,0.542,0.015763390640483554
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.514,0.01581309754773093
CatBoost,10,-3,1,0.512,0.01581474331458169
R_Forest,10,-3,1,0.507,0.01581774956184353
KNN,10,-3,1,0.553,0.0157301760460091
FTTransformer,10,-3,1,0.51,0.015816135752773183
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.611,0.01542455564730851
CatBoost,10,-3,4,0.587,0.015577986829936457
R_Forest,10,-3,4,0.587,0.015577986829936457
KNN,10,-3,4,0.62,0.015356947477797658
FTTransformer,10,-3,4,0.599,0.01550610974549837
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.571,0.01565899754787018
CatBoost,10,-3,2,0.547,0.015749255189977687
R_Forest,10,-3,2,0.537,0.015775927227262426
KNN,10,-3,2,0.576,0.015635487471405182
FTTransformer,10,-3,2,0.554,0.015726771166750392
