Model,num_rows,num_cols,acc,std
TabPFN,3,0.522,0.01580397942816194
TabPFN,5,0.698,0.014526080235459496
TabPFN,15,0.92,0.00858333697775368
LR,3,0.596,0.015524980677122439
LR,5,0.756,0.013588548437881386
LR,15,0.936,0.007743640226919377
CatBoost,3,0.576,0.015635487471405182
CatBoost,5,0.706,0.014414290540008265
CatBoost,15,0.916,0.008776162089491113
R_Forest,3,0.542,0.015763390640483554
R_Forest,5,0.7,0.014498627873361333
R_Forest,15,0.912,0.008963053962592012
KNN,3,0.604,0.015473313265859495
KNN,5,0.768,0.013354937452281624
KNN,15,0.933,0.007910345983177573
SVC,3,0.601,0.015493193313163008
SVC,5,0.781,0.013084731950262114
SVC,15,0.943,0.007335175853706906
FTTransformer,3,0.582,0.015605111967541902
FTTransformer,5,0.746,0.01377220656516862
FTTransformer,15,0.917,0.008728527206074758
STUNT,3,0.682,0.014734079309311905
STUNT,5,0.768,0.013354937452281624
STUNT,10,0.867,0.010743669132397294
STUNT,15,0.898,0.009575368801653944
