Model,num_rows,num_cols,acc,std
TabPFN,3,0.459,0.015766025737882314
TabPFN,5,0.52,0.015806639423035177
TabPFN,15,0.696,0.014553205687950535
LR,3,0.491,0.015816736995005295
LR,5,0.539,0.015771104201283047
LR,15,0.662,0.014965960710224383
CatBoost,3,0.484,0.015811198373114985
CatBoost,5,0.55,0.015740004693383918
CatBoost,15,0.701,0.014484778521220433
R_Forest,3,0.473,0.01579621855130273
R_Forest,5,0.535,0.015780495050030086
R_Forest,15,0.697,0.014539683710535193
KNN,3,0.521,0.015805341148131185
KNN,5,0.574,0.015645087688113762
KNN,15,0.698,0.014526080235459494
SVC,3,0.509,0.015816736995005295
SVC,5,0.552,0.01573351656634789
SVC,15,0.678,0.014782913600996745
FTTransformer,3,0.5,0.015819299929208316
FTTransformer,5,0.545,0.015755101498347232
FTTransformer,15,0.679,0.014770821817934753
