Model,num_rows,num_cols,acc,std
TabPFN,3,0.554,0.015726771166750392
TabPFN,5,0.653,0.015060472031706637
TabPFN,15,0.836,0.011715000693181423
LR,3,0.587,0.015577986829936457
LR,5,0.679,0.014770821817934751
LR,15,0.86,0.010978183844357888
CatBoost,3,0.596,0.015524980677122439
CatBoost,5,0.68,0.014758652303574938
CatBoost,15,0.848,0.01135891830347525
R_Forest,3,0.563,0.015693223928730425
R_Forest,5,0.65,0.015090650341444127
R_Forest,15,0.848,0.01135891830347525
KNN,3,0.611,0.01542455564730851
KNN,5,0.703,0.01445683229480096
KNN,15,0.836,0.011715000693181423
SVC,3,0.594,0.015537226438634581
SVC,5,0.67,0.014876872027456621
SVC,15,0.848,0.01135891830347525
FTTransformer,3,0.586,0.01558354410417755
FTTransformer,5,0.705,0.014428554438445427
FTTransformer,15,0.835,0.011743632866916138
