Model,num_rows,num_cols,acc,std
TabPFN,3,0.372,0.015292149942040518
TabPFN,5,0.369,0.015266698139154782
TabPFN,15,0.468,0.015786868759359005
LR,3,0.389,0.01542455564730851
LR,5,0.425,0.01564032031704017
LR,15,0.498,0.01581917337430266
CatBoost,3,0.389,0.01542455564730851
CatBoost,5,0.39,0.01543172505386673
CatBoost,15,0.482,0.01580904569940659
R_Forest,3,0.38,0.015356947477797658
R_Forest,5,0.393,0.015452824654081527
R_Forest,15,0.483,0.015810153729833274
KNN,3,0.406,0.015537226438634581
KNN,5,0.42,0.015615500115072968
KNN,15,0.499,0.015819268290576817
SVC,3,0.393,0.015452824654081525
SVC,5,0.431,0.01566794448817344
SVC,15,0.5,0.015819299929208316
FTTransformer,3,0.399,0.015493193313163008
FTTransformer,5,0.419,0.015610338967577953
FTTransformer,15,0.479,0.015805341148131185
