Model,num_rows,num_cols,acc,std
TabPFN,3,0.385,0.015395194445410945
TabPFN,5,0.432,0.015672320237336324
TabPFN,15,0.697,0.014539683710535193
LR,3,0.416,0.01559446014414052
LR,5,0.489,0.015815471195292575
LR,15,0.737,0.013929286594259776
CatBoost,3,0.416,0.01559446014414052
CatBoost,5,0.494,0.015818160898606833
CatBoost,15,0.699,0.01451239503354321
R_Forest,3,0.404,0.015524980677122439
R_Forest,5,0.463,0.015775927227262426
R_Forest,15,0.702,0.014470846741134585
KNN,3,0.407,0.015543249100255476
KNN,5,0.448,0.01573351656634789
KNN,15,0.656,0.015029633724408917
SVC,3,0.426,0.015645087688113762
SVC,5,0.505,0.01581850894443674
SVC,15,0.747,0.013754278613587126
FTTransformer,3,0.423,0.015630589090476255
FTTransformer,5,0.485,0.01581217964181488
FTTransformer,15,0.681,0.014746404865473359
STUNT,3,0.48,0.015806639423035177
STUNT,5,0.467,0.015784807891138876
STUNT,10,0.559,0.01570877989424277
STUNT,15,0.649,0.015100563798316504
