Model,num_rows,num_cols,acc,std
TabPFN,3,0.519,0.015807874268505835
TabPFN,5,0.662,0.014965960710224385
TabPFN,15,0.813,0.012336254828074166
LR,3,0.591,0.015555094373257946
LR,5,0.736,0.01394627184944057
LR,15,0.864,0.01084535023047304
CatBoost,3,0.596,0.015524980677122439
CatBoost,5,0.71,0.014356395999905621
CatBoost,15,0.866,0.010777762298369738
R_Forest,3,0.565,0.015685057252717346
R_Forest,5,0.653,0.015060472031706637
R_Forest,15,0.86,0.010978183844357886
KNN,3,0.626,0.015308767369006507
KNN,5,0.759,0.01353152253451555
KNN,15,0.855,0.0111399775178902
SVC,3,0.6,0.015499685165842573
SVC,5,0.718,0.014236526215291381
SVC,15,0.86,0.010978183844357888
FTTransformer,3,0.616,0.01538768276189696
FTTransformer,5,0.738,0.013912208651021213
FTTransformer,15,0.867,0.010743669132397294
