Model,num_rows,num_cols,acc,std
TabPFN,3,0.327,0.014842213153411162
TabPFN,5,0.324,0.014806864733738986
TabPFN,15,0.327,0.014842213153411162
LR,3,0.531,0.015788865959538965
LR,5,0.575,0.01564032031704017
LR,15,0.839,0.011628164696727263
CatBoost,3,0.553,0.0157301760460091
CatBoost,5,0.576,0.015635487471405182
CatBoost,15,0.813,0.012336254828074166
R_Forest,3,0.491,0.0158167369950053
R_Forest,5,0.547,0.015749255189977687
R_Forest,15,0.806,0.012510816141264347
KNN,3,0.592,0.015549205052920803
KNN,5,0.681,0.014746404865473359
KNN,15,0.877,0.010391293421849801
SVC,3,0.593,0.015543249100255476
SVC,5,0.682,0.014734079309311905
SVC,15,0.795,0.012772554096113203
FTTransformer,3,0.483,0.015810153729833274
FTTransformer,5,0.544,0.01575792855397918
FTTransformer,15,0.719,0.014221154708434942
STUNT,3,0.585,0.015589035185604594
STUNT,5,0.568,0.01567232023733632
STUNT,10,0.753,0.013644675781314012
STUNT,15,0.826,0.011994493230973447
