Model,num_rows,num_cols,acc,std
TabPFN,3,0.383,0.015380102325652699
TabPFN,5,0.382,0.015372453034968502
TabPFN,15,0.46,0.0157685969143944
LR,3,0.404,0.015524980677122437
LR,5,0.415,0.015589035185604594
LR,15,0.502,0.01581917337430266
CatBoost,3,0.381,0.015364734787007391
CatBoost,5,0.393,0.015452824654081527
CatBoost,15,0.502,0.01581917337430266
R_Forest,3,0.355,0.015139491543780595
R_Forest,5,0.387,0.015410011955494015
R_Forest,15,0.48,0.015806639423035177
KNN,3,0.408,0.015549205052920803
KNN,5,0.389,0.01542455564730851
KNN,15,0.474,0.0157978977580428
SVC,3,0.4,0.015499685165842571
SVC,5,0.393,0.015452824654081525
SVC,15,0.479,0.015805341148131185
FTTransformer,3,0.391,0.015438826294681773
FTTransformer,5,0.427,0.01564978964446219
FTTransformer,15,0.471,0.015792669451628764
