model,num_rows,num_cols,acc,std
SVC,3,-3,0.512,0.01581474331458169
SVC,5,-3,0.517,0.015810153729833274
SVC,10,-3,0.503,0.015819015179246818
LR,3,-3,0.502,0.01581917337430266
LR,5,-3,0.516,0.015811198373114985
LR,10,-3,0.504,0.01581879370351084
KNN,3,-3,0.515,0.01581217964181488
KNN,5,-3,0.517,0.015810153729833274
KNN,10,-3,0.503,0.015819015179246818
