Model,num_rows,num_cols,acc,std
TabPFN,3,0.439,0.015701131345400736
TabPFN,5,0.483,0.015810153729833274
TabPFN,15,0.628,0.015292149942040518
LR,3,0.51,0.015816135752773183
LR,5,0.578,0.015625625112620622
LR,15,0.702,0.014470846741134585
CatBoost,3,0.497,0.015819015179246818
CatBoost,5,0.514,0.015813097547730935
CatBoost,15,0.675,0.014818724459095479
R_Forest,3,0.436,0.015689173023144026
R_Forest,5,0.506,0.015818160898606833
R_Forest,15,0.684,0.014709193056057166
KNN,3,0.528,0.015794475789511517
KNN,5,0.579,0.015620595475301285
KNN,15,0.661,0.014976758771620222
SVC,3,0.53,0.015790799515836722
SVC,5,0.6,0.015499685165842573
SVC,15,0.689,0.01464559638572269
FTTransformer,3,0.489,0.015815471195292575
FTTransformer,5,0.543,0.0157606915901365
FTTransformer,15,0.638,0.015204840912919385
STUNT,3,0.519,0.015807874268505835
STUNT,5,0.561,0.01570113134540074
STUNT,10,0.711,0.014341711358296287
STUNT,15,0.707,0.014399942998441292
