model,num_rows,num_cols,acc,std
SVC,3,-3,0.615,0.015395194445410945
SVC,5,-3,0.644,0.01514904265930668
SVC,10,-3,0.681,0.01474640486547336
LR,3,-3,0.618,0.015372453034968502
LR,5,-3,0.647,0.015120172605483696
LR,10,-3,0.699,0.014512395033543209
KNN,3,-3,0.668,0.014899597242811567
KNN,5,-3,0.672,0.01485384248727031
KNN,10,-3,0.708,0.014385511563477433
